lambda (um)              Refle
0.4                      0.024759219407095957
0.4015075376884422       0.024783712158034904
0.40301507537688447      0.02470557820765877
0.40452261306532666      0.02469147239184635
0.40603015075376886      0.024737131736057173
0.4075376884422111       0.024813594907906744
0.4090452261306533       0.02488539792881607
0.4105527638190955       0.024918226236858666
0.41206030150753775      0.024884445688029864
0.41356783919597995      0.024767661932541818
0.41507537688442214      0.024565874790762696
0.41658291457286434      0.024292280802240745
0.41809045226130653      0.023973040843318468
0.4195979899497488       0.02364224802480237
0.42110552763819104      0.023335393177373476
0.42261306532663323      0.02308315384054653
0.4241206030150754       0.022907008356024147
0.4256281407035176       0.022817278864408614
0.4271356783919598       0.02281332132621599
0.428643216080402        0.022885123544424322
0.43015075376884426      0.023015586609738597
0.43165829145728646      0.02318304441667377
0.4331658291457287       0.023363875698057167
0.4346733668341709       0.023535220787905573
0.4361809045226131       0.023677770619334182
0.4376884422110553       0.0237783832400583
0.43919597989949755      0.02383203240225251
0.44070351758793974      0.023842496839948393
0.44221105527638194      0.023821411475129957
0.4437185929648242       0.023785796805899106
0.4452261306532664       0.023754714763343298
0.4467336683417086       0.023745959664537596
0.44824120603015083      0.023773547890127558
0.449748743718593        0.02384635126958981
0.4512562814070352       0.023967789972150714
0.4527638190954774       0.024136254731081497
0.4542713567839196       0.024345901867516517
0.4557788944723618       0.024587581878621877
0.45728643216080406      0.024849819882578176
0.4587939698492463       0.025119883509473338
0.4603015075376885       0.025385003686002397
0.4618090452261307       0.02563374219561633
0.4633165829145729       0.02585735598577911
0.4648241206030151       0.026050872026712125
0.46633165829145734      0.026213562105075677
0.4678391959798996       0.026348650420312047
0.46934673366834173      0.02646234326540972
0.470854271356784        0.026562495622677294
0.4723618090452262       0.026657299022656435
0.4738693467336684       0.02675427379744726
0.47537688442211057      0.026859663650117164
0.4768844221105528       0.026978167131489938
0.47839195979899507      0.027112857299285826
0.4798994974874372       0.02726514009144309
0.48140703517587946      0.027434658911792996
0.4829145728643216       0.027619139949110316
0.48442211055276385      0.027814263856377676
0.48592964824120605      0.028013712811023463
0.4874371859296483       0.028209539991545806
0.48894472361809055      0.028392918741465326
0.4904522613065327       0.028555176286299114
